Quarter,Org Code,Org Name,Available_GA,Occupied_GA,Occupancy_Rate_GA
Q1,RJ1, GUY'S AND ST THOMAS' NHS FOUNDATION TRUST ," 1,219 "," 1,001 ",82.1%
Q1,RJ2, LEWISHAM AND GREENWICH NHS TRUST , 983 , 915 ,93.1%
Q1,RJZ, KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST ," 1,352 "," 1,231 ",91.0%
Q1,RRV, UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST , 855 , 670 ,78.3%
Q1,RYJ, IMPERIAL COLLEGE HEALTHCARE NHS TRUST ," 1,033 ", 967 ,93.6%
Q2,RJ1, GUY'S AND ST THOMAS' NHS FOUNDATION TRUST ," 1,221 "," 1,007 ",82.4%
Q2,RJ2, LEWISHAM AND GREENWICH NHS TRUST , 962 , 865 ,89.9%
Q2,RJZ, KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST ," 1,350 "," 1,204 ",89.2%
Q2,RRV, UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST , 853 , 648 ,75.9%
Q2,RYJ, IMPERIAL COLLEGE HEALTHCARE NHS TRUST ," 1,034 ", 973 ,94.1%
Q3,RJ1, GUY'S AND ST THOMAS' NHS FOUNDATION TRUST ," 1,210 "," 1,005 ",83.1%
Q3,RJ2, LEWISHAM AND GREENWICH NHS TRUST , 963 , 896 ,93.0%
Q3,RJZ, KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST ," 1,357 "," 1,201 ",88.5%
Q3,RRV, UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST , 853 , 672 ,78.9%
Q3,RYJ, IMPERIAL COLLEGE HEALTHCARE NHS TRUST ," 1,039 ", 982 ,94.6%
Q4,RJ1, GUY'S AND ST THOMAS' NHS FOUNDATION TRUST ," 1,217 "," 1,033 ",84.9%
Q4,RJ2, LEWISHAM AND GREENWICH NHS TRUST , 985 , 929 ,94.3%
Q4,RJZ, KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST ," 1,357 "," 1,232 ",90.8%
Q4,RRV, UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST , 855 , 678 ,79.3%
Q4,RYJ, IMPERIAL COLLEGE HEALTHCARE NHS TRUST ," 1,039 "," 1,008 ",97.1%
